Location,Pixel_val,Coord_val
95,"(1, 45)","(-13.23785555473836, 7.228861113462074)"
96,"(1, 46)","(-13.23785555473836, 7.167283335191673)"
97,"(1, 47)","(-13.23785555473836, 7.105705556921274)"
98,"(1, 48)","(-13.23785555473836, 7.044127778650873)"
99,"(1, 49)","(-13.23785555473836, 6.982550000380474)"
100,"(2, 0)","(-13.177238887586759, 9.999861135630074)"
101,"(2, 1)","(-13.177238887586759, 9.938283357359673)"
102,"(2, 2)","(-13.177238887586759, 9.876705579089274)"
103,"(2, 3)","(-13.177238887586759, 9.815127800818873)"
104,"(2, 4)","(-13.177238887586759, 9.753550022548474)"
105,"(2, 5)","(-13.177238887586759, 9.691972244278073)"
106,"(2, 6)","(-13.177238887586759, 9.630394466007674)"
107,"(2, 7)","(-13.177238887586759, 9.568816687737273)"
108,"(2, 8)","(-13.177238887586759, 9.507238909466874)"
109,"(2, 9)","(-13.177238887586759, 9.445661131196474)"
110,"(2, 10)","(-13.177238887586759, 9.384083352926073)"
111,"(2, 11)","(-13.177238887586759, 9.322505574655674)"
112,"(2, 12)","(-13.177238887586759, 9.260927796385273)"
113,"(2, 13)","(-13.177238887586759, 9.199350018114874)"
114,"(2, 14)","(-13.177238887586759, 9.137772239844473)"
115,"(2, 15)","(-13.177238887586759, 9.076194461574074)"
116,"(2, 16)","(-13.177238887586759, 9.014616683303673)"
117,"(2, 17)","(-13.177238887586759, 8.953038905033274)"
118,"(2, 18)","(-13.177238887586759, 8.891461126762874)"
119,"(2, 19)","(-13.177238887586759, 8.829883348492473)"
120,"(2, 20)","(-13.177238887586759, 8.768305570222074)"
121,"(2, 21)","(-13.177238887586759, 8.706727791951673)"
122,"(2, 22)","(-13.177238887586759, 8.645150013681274)"
123,"(2, 23)","(-13.177238887586759, 8.583572235410873)"
124,"(2, 24)","(-13.177238887586759, 8.521994457140474)"
125,"(2, 25)","(-13.177238887586759, 8.460416678870073)"
126,"(2, 26)","(-13.177238887586759, 8.398838900599674)"
127,"(2, 27)","(-13.177238887586759, 8.337261122329274)"
128,"(2, 28)","(-13.177238887586759, 8.275683344058873)"
129,"(2, 29)","(-13.177238887586759, 8.214105565788474)"
130,"(2, 30)","(-13.177238887586759, 8.152527787518073)"
131,"(2, 31)","(-13.177238887586759, 8.090950009247674)"
132,"(2, 32)","(-13.177238887586759, 8.029372230977273)"
133,"(2, 33)","(-13.177238887586759, 7.967794452706873)"
134,"(2, 34)","(-13.177238887586759, 7.9062166744364735)"
135,"(2, 35)","(-13.177238887586759, 7.844638896166074)"
136,"(2, 36)","(-13.177238887586759, 7.783061117895674)"
137,"(2, 37)","(-13.177238887586759, 7.721483339625273)"
138,"(2, 38)","(-13.177238887586759, 7.659905561354874)"
139,"(2, 39)","(-13.177238887586759, 7.598327783084473)"
140,"(2, 40)","(-13.177238887586759, 7.536750004814074)"
141,"(2, 41)","(-13.177238887586759, 7.475172226543673)"
142,"(2, 42)","(-13.177238887586759, 7.413594448273273)"
143,"(2, 43)","(-13.177238887586759, 7.3520166700028735)"
144,"(2, 44)","(-13.177238887586759, 7.290438891732474)"
145,"(2, 45)","(-13.177238887586759, 7.228861113462074)"
146,"(2, 46)","(-13.177238887586759, 7.167283335191673)"
147,"(2, 47)","(-13.177238887586759, 7.105705556921274)"
148,"(2, 48)","(-13.177238887586759, 7.044127778650873)"
149,"(2, 49)","(-13.177238887586759, 6.982550000380474)"
150,"(3, 0)","(-13.11662222043516, 9.999861135630074)"
151,"(3, 1)","(-13.11662222043516, 9.938283357359673)"
152,"(3, 2)","(-13.11662222043516, 9.876705579089274)"
153,"(3, 3)","(-13.11662222043516, 9.815127800818873)"
154,"(3, 4)","(-13.11662222043516, 9.753550022548474)"
155,"(3, 5)","(-13.11662222043516, 9.691972244278073)"
156,"(3, 6)","(-13.11662222043516, 9.630394466007674)"
157,"(3, 7)","(-13.11662222043516, 9.568816687737273)"
158,"(3, 8)","(-13.11662222043516, 9.507238909466874)"
159,"(3, 9)","(-13.11662222043516, 9.445661131196474)"
160,"(3, 10)","(-13.11662222043516, 9.384083352926073)"
161,"(3, 11)","(-13.11662222043516, 9.322505574655674)"
162,"(3, 12)","(-13.11662222043516, 9.260927796385273)"
163,"(3, 13)","(-13.11662222043516, 9.199350018114874)"
164,"(3, 14)","(-13.11662222043516, 9.137772239844473)"
165,"(3, 15)","(-13.11662222043516, 9.076194461574074)"
166,"(3, 16)","(-13.11662222043516, 9.014616683303673)"
167,"(3, 17)","(-13.11662222043516, 8.953038905033274)"
168,"(3, 18)","(-13.11662222043516, 8.891461126762874)"
169,"(3, 19)","(-13.11662222043516, 8.829883348492473)"
170,"(3, 20)","(-13.11662222043516, 8.768305570222074)"
171,"(3, 21)","(-13.11662222043516, 8.706727791951673)"
172,"(3, 22)","(-13.11662222043516, 8.645150013681274)"
173,"(3, 23)","(-13.11662222043516, 8.583572235410873)"
174,"(3, 24)","(-13.11662222043516, 8.521994457140474)"
175,"(3, 25)","(-13.11662222043516, 8.460416678870073)"
176,"(3, 26)","(-13.11662222043516, 8.398838900599674)"
177,"(3, 27)","(-13.11662222043516, 8.337261122329274)"
178,"(3, 28)","(-13.11662222043516, 8.275683344058873)"
179,"(3, 29)","(-13.11662222043516, 8.214105565788474)"
180,"(3, 30)","(-13.11662222043516, 8.152527787518073)"
181,"(3, 31)","(-13.11662222043516, 8.090950009247674)"
182,"(3, 32)","(-13.11662222043516, 8.029372230977273)"
183,"(3, 33)","(-13.11662222043516, 7.967794452706873)"
184,"(3, 34)","(-13.11662222043516, 7.9062166744364735)"
185,"(3, 35)","(-13.11662222043516, 7.844638896166074)"
186,"(3, 36)","(-13.11662222043516, 7.783061117895674)"
187,"(3, 37)","(-13.11662222043516, 7.721483339625273)"
188,"(3, 38)","(-13.11662222043516, 7.659905561354874)"
189,"(3, 39)","(-13.11662222043516, 7.598327783084473)"
190,"(3, 40)","(-13.11662222043516, 7.536750004814074)"
191,"(3, 41)","(-13.11662222043516, 7.475172226543673)"
192,"(3, 42)","(-13.11662222043516, 7.413594448273273)"
193,"(3, 43)","(-13.11662222043516, 7.3520166700028735)"
