Column1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
34,0,0,0,0,0,0.012498948,0.005281542,0.000715428,0.003556098,0.002911483,0.00547092,0.00462924,0.006712398,0.004712831,0.005113206,0.001767528,0.00294588,0.005702382,0.011708768,0.004566114,0.006018012,0.003808602,0.008839177,0.007722414,0.006396768,0.039832506,0.022073058,0.006304721,0.019421766,0.014687316,0.015655248,0.004838507,0.009489942,0.004124232,0.073499705,0.069501725,0.009635122,0.009279522,0.004608198,0.008248464,0.008881069,0.0126252,0.002609208,0.007322616,0.002272536,0,0,0,0,0
35,0,0,0,0,0,0,0.0042084,0.011636226,0.001136268,0.005655398,0.003913812,0.005239458,0.003619224,0.002764861,0.006775524,0.004502988,0.00904806,0.009005976,0.003581752,0.005975928,0.003219426,0.003030048,0.00215743,0.003871728,0.004923828,0.00799596,0.0147294,0.010849985,0.00452403,0.004881744,0.00241983,0.002869591,0.016875684,0.005323626,0.172860029,0.03303594,0.005948641,0.006291558,0.005344668,0.006859692,0.003016212,0.007028028,0.001662318,0.001935864,0.001010016,0,0,0,0,0
36,0,0,0,0,0,0,0,0.003414185,0.002785807,0.003899001,0.006639856,0.003099996,0.004775669,0.000458706,0.004712831,0.027774287,0.070022203,0.004796615,0.007547799,0.006220938,0.01175066,0.001256755,0.002439482,0.004147292,0.003225671,0.011771606,0.007791881,0.00531682,0.002953374,0.000774999,0.006262829,0.006734639,0.001403376,2.09E-05,0.006472289,0.008315529,0.005546173,0.006199992,0.007226342,0.001277701,0.00454536,0.002178375,0.000942566,0.000481756,0.000125676,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0.001010016,0.003770265,0.002020032,0.000904806,0.000589176,0.000481756,0.000820638,0.00557613,0.01136268,0.004545072,0.005110804,0.00589176,0.005491962,0.004229442,0.007477693,0.004713408,0.009426816,0.005660298,0.017022978,0.006912153,0.001241478,0.003009006,0.001872738,0.00307905,0.000441882,0.000568134,0.008143254,0.005449878,0.004210129,0.005849676,0.00231462,0.000820638,0.000502702,0.000441882,0.000820638,0.000189378,0,0,0,0,0,0
38,0,0,0,0.000189378,0.000879729,0,0,0,0,0.000125676,0.001115226,0.001851696,0.00021042,0.000377027,0.002272536,0.006144264,0.012982914,0.007006986,0.006786477,0.005954886,0.004082148,0.014077098,0.015541871,0.01388772,0.009405774,0.010899756,0.004166316,0.002995266,0.002461914,0.00147294,0.00441882,0.001382431,0.004187358,0.005660298,0.003535056,0.003808602,0.01128985,0.004502988,0.001599192,4.21E-05,0.000188513,0.001283562,0.000168336,0,0,0,0,0,0,0
39,0,0,0,2.10E-05,0.001361485,0.001935864,0.002672334,0.002861712,0.001956906,0.003958778,0.002461914,0.001220436,0.00094689,0.000712161,0.000568134,0.004229442,0.003871728,0.004650282,0.039881027,0.011846646,0.011720394,0.004145274,0.009006745,0.008080128,0.013487922,0.005323626,0.005386752,0.003120942,0.00326151,0.004439862,0.003198384,0.000858783,0.00357714,0.006228432,0.003808602,0.015613164,0.003707427,0.002924838,0.000589176,2.10E-05,0.000628378,0.000168336,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0.000167567,0.002136484,0.000963512,0.001319593,0.001897375,0.003183779,0.003581752,0.002932428,0.021079627,0.000523648,0.003958778,0.001214863,0.003916887,0.01294802,0.008587826,0.003518914,0.005047966,0.014240737,0.008022286,0.006828369,0.004901345,0.005194588,0.014157336,0.007435801,0.004629048,0.003979724,0.002731386,0.002995266,0.00159189,0.007016882,0.00343513,0.006171681,0.003477022,0.00092162,0.000816891,0.000291904,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0.000209459,0.001388772,0.003535056,0.004145274,0.002345943,0.002651292,0.00336672,0.005007996,0.005555088,0.006954045,0.006144264,0.004545072,0.006186348,0.012295254,0.006501978,0.007701372,0.006859692,0.012246444,0.004964182,0.005302584,0.006228432,0.008816598,0.00194797,8.42E-05,0.007596162,0.00715428,0.003135258,0.00102635,0.000336672,0.000715428,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0.00126252,0.005323626,0.002408781,0.002609208,0.005344668,0.004397778,0.007238448,0.0041054,0.0063126,0.002335662,0.008227422,0.009027691,0.009174312,0.00999495,0.00904806,0.009553068,0.007854719,0.005912802,0.002651292,0.005239458,0.00307905,0.000757512,0.001115226,0.00178857,0.001220436,0.000418918,4.21E-05,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0.000399798,0.001319593,0.000715428,0.001115226,0.00199899,0.004965912,0.003120942,0.004019022,0.002083158,0.00263025,0.002995266,0.002987964,0.004608198,0.021063042,0.030174228,0.008713502,0.003598182,0.00189378,0.003976938,0.003037158,0.001830654,0.002272536,6.31E-05,2.10E-05,8.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000505008,0.002398788,0.003895941,0.00294588,0.00115731,0.00431361,0.0041054,0.006291558,0.003850686,0.002861712,0.005744466,0.006849315,0.011004966,0.003556098,0.00431361,0.002387835,0.017654238,0.00273546,0.004502988,0.000462924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001298647,0.000858783,0.002890537,0.00454536,0.004335805,0.002890537,0.003874995,0.001885133,0.002606284,0.002995266,0.004796615,0.002094592,0.009466024,0.001968916,0.0041054,0.001110134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001641276,0.001801349,0.004713408,0.002819628,0.003535056,0.003387762,0.001612836,0.00357714,0.003240468,0.002714418,0.001968916,0.001515024,0.000231462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42E-05,0.001430856,0.002567124,0.00178857,0.002408781,0.002377746,0.003808602,0.003303594,0.00456621,0.000988974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010521,0.001746486,0.002953374,0.00199899,0.002083158,0.002546082,0.006409451,0.00073647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000583808,0.007980395,0.002660132,0.002387835,0.015554305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
