Location,Pixel_val,Coord_val,pixel_x,pixel_y,coord_x,coord_y,value,Min_Dist
160,"(3.0, 10.0)","(-13.11662222043516, 9.384083352926073)",3,10,-13.11662222,9.384083353,0,0.874966705
161,"(3.0, 11.0)","(-13.11662222043516, 9.322505574655674)",3,11,-13.11662222,9.322505575,0,0.821101354
162,"(3.0, 12.0)","(-13.11662222043516, 9.260927796385273)",3,12,-13.11662222,9.260927796,0,0.768395585
163,"(3.0, 13.0)","(-13.11662222043516, 9.199350018114874)",3,13,-13.11662222,9.199350018,0.000733107,0.717105128
164,"(3.0, 14.0)","(-13.11662222043516, 9.137772239844473)",3,14,-13.11662222,9.13777224,0.000988974,0.661144695
165,"(3.0, 15.0)","(-13.11662222043516, 9.076194461574074)",3,15,-13.11662222,9.076194462,0.001115226,0.60094589
166,"(3.0, 16.0)","(-13.11662222043516, 9.014616683303673)",3,16,-13.11662222,9.014616683,0.000462924,0.54105754
167,"(3.0, 17.0)","(-13.11662222043516, 8.953038905033274)",3,17,-13.11662222,8.953038905,0.00084168,0.481595481
168,"(3.0, 18.0)","(-13.11662222043516, 8.891461126762874)",3,18,-13.11662222,8.891461127,0.00010473,0.422739635
169,"(3.0, 19.0)","(-13.11662222043516, 8.829883348492473)",3,19,-13.11662222,8.829883348,0.000483966,0.364783545
170,"(3.0, 20.0)","(-13.11662222043516, 8.768305570222074)",3,20,-13.11662222,8.76830557,0.000336672,0.308235165
171,"(3.0, 21.0)","(-13.11662222043516, 8.706727791951673)",3,21,-13.11662222,8.706727792,6.31E-05,0.254036306
172,"(3.0, 22.0)","(-13.11662222043516, 8.645150013681274)",3,22,-13.11662222,8.645150014,0.00010473,0.20406768
173,"(3.0, 23.0)","(-13.11662222043516, 8.583572235410873)",3,23,-13.11662222,8.583572235,0.001767528,0.162285047
174,"(3.0, 24.0)","(-13.11662222043516, 8.521994457140474)",3,24,-13.11662222,8.521994457,0.002272536,0.122473689
175,"(3.0, 25.0)","(-13.11662222043516, 8.460416678870073)",3,25,-13.11662222,8.460416679,0.000715428,0.083262986
176,"(3.0, 26.0)","(-13.11662222043516, 8.398838900599674)",3,26,-13.11662222,8.398838901,0.001136268,0.032207984
177,"(3.0, 27.0)","(-13.11662222043516, 8.337261122329274)",3,27,-13.11662222,8.337261122,0.002953374,0.020520573
